datetime,open,high,low,close
2024-06-14 11:15:00+00:00,1.0698,1.0701,1.0697,1.0701
2024-06-14 11:30:00+00:00,1.0701,1.0706,1.0699,1.07
2024-06-14 11:45:00+00:00,1.07005,1.0704,1.0692,1.0693
2024-06-14 12:00:00+00:00,1.0694,1.0695,1.06835,1.0684
2024-06-14 12:15:00+00:00,1.0685,1.069,1.0684,1.0685
2024-06-14 12:30:00+00:00,1.0686,1.0689,1.06795,1.0687
2024-06-14 12:45:00+00:00,1.0687,1.0696,1.0687,1.0689
2024-06-14 13:00:00+00:00,1.069,1.0692,1.0684,1.0685
2024-06-14 13:15:00+00:00,1.0685,1.0688,1.0673,1.0674
2024-06-14 13:30:00+00:00,1.0675,1.068,1.0669,1.0674
2024-06-14 13:45:00+00:00,1.0675,1.0676,1.0667,1.0669
2024-06-14 14:00:00+00:00,1.0669,1.068,1.0669,1.06755
2024-06-14 14:15:00+00:00,1.0677,1.0683,1.0675,1.0679
2024-06-14 14:30:00+00:00,1.0678,1.0679,1.067,1.0672
2024-06-14 14:45:00+00:00,1.0671,1.0688,1.0671,1.0688
2024-06-14 15:00:00+00:00,1.0687,1.0692,1.0684,1.0692
2024-06-14 15:15:00+00:00,1.06925,1.0699,1.06925,1.0699
2024-06-14 15:30:00+00:00,1.0698,1.07,1.0697,1.0699
2024-06-14 15:45:00+00:00,1.0699,1.07,1.0694,1.0698
2024-06-14 16:00:00+00:00,1.0699,1.0699,1.0694,1.0696
2024-06-14 16:15:00+00:00,1.0697,1.0699,1.0693,1.0698
2024-06-14 16:30:00+00:00,1.0698,1.0701,1.0697,1.0701
2024-06-14 16:45:00+00:00,1.0701,1.0702,1.0699,1.0701
2024-06-14 17:00:00+00:00,1.07,1.0703,1.0698,1.0703
2024-06-14 17:15:00+00:00,1.0703,1.0705,1.0698,1.07
2024-06-14 17:30:00+00:00,1.0701,1.0703,1.0699,1.0699
2024-06-14 17:45:00+00:00,1.0699,1.0701,1.0697,1.0699
2024-06-14 18:00:00+00:00,1.0699,1.0699,1.0695,1.0696
2024-06-14 18:15:00+00:00,1.0696,1.0699,1.0694,1.0697
2024-06-14 18:30:00+00:00,1.0697,1.0698,1.0694,1.0698
2024-06-14 18:45:00+00:00,1.0698,1.0701,1.0698,1.0699
2024-06-14 19:00:00+00:00,1.06995,1.0701,1.0699,1.07
2024-06-14 19:15:00+00:00,1.0701,1.0703,1.0701,1.0703
2024-06-14 19:30:00+00:00,1.07035,1.0705,1.0703,1.07045
2024-06-14 19:45:00+00:00,1.0703,1.0706,1.07025,1.0706
2024-06-14 20:00:00+00:00,1.0707,1.0707,1.0703,1.0704
2024-06-14 20:15:00+00:00,1.07045,1.0707,1.07045,1.0706
2024-06-14 20:30:00+00:00,1.0707,1.0708,1.0706,1.0707
2024-06-14 20:45:00+00:00,1.0707,1.0707,1.07,1.0702
2024-06-16 23:00:00+00:00,1.0707,1.0707,1.0703,1.0704
2024-06-16 23:15:00+00:00,1.0704,1.0705,1.0703,1.0704
2024-06-16 23:30:00+00:00,1.07035,1.0705,1.0702,1.0703
2024-06-16 23:45:00+00:00,1.07025,1.0705,1.0701,1.0703
2024-06-17 00:00:00+00:00,1.0703,1.0704,1.0701,1.07015
2024-06-17 00:15:00+00:00,1.07015,1.0707,1.07015,1.0705
2024-06-17 00:30:00+00:00,1.07055,1.0708,1.0703,1.0705
2024-06-17 00:45:00+00:00,1.0705,1.0707,1.0703,1.0703
2024-06-17 01:00:00+00:00,1.0704,1.0705,1.0701,1.07025
2024-06-17 01:15:00+00:00,1.0703,1.0703,1.07,1.07
2024-06-17 01:30:00+00:00,1.07005,1.0703,1.0699,1.0701
2024-06-17 01:45:00+00:00,1.0702,1.0702,1.0701,1.0702
2024-06-17 02:00:00+00:00,1.0701,1.0703,1.0699,1.07025
2024-06-17 02:15:00+00:00,1.0703,1.0705,1.0701,1.0703
2024-06-17 02:30:00+00:00,1.0703,1.0704,1.07025,1.07035
2024-06-17 02:45:00+00:00,1.0703,1.0705,1.0702,1.07045
2024-06-17 03:00:00+00:00,1.0705,1.0705,1.0701,1.0703
2024-06-17 03:15:00+00:00,1.0703,1.0704,1.0702,1.0704
2024-06-17 03:30:00+00:00,1.0703,1.0705,1.0703,1.0703
2024-06-17 03:45:00+00:00,1.0703,1.0704,1.0703,1.0704
2024-06-17 04:00:00+00:00,1.0704,1.0704,1.0702,1.0704
2024-06-17 04:15:00+00:00,1.07035,1.0705,1.0703,1.0705
2024-06-17 04:30:00+00:00,1.0705,1.07055,1.0703,1.0705
2024-06-17 04:45:00+00:00,1.0705,1.0706,1.0703,1.0705
2024-06-17 05:00:00+00:00,1.0704,1.0705,1.0703,1.0704
2024-06-17 05:15:00+00:00,1.0703,1.0705,1.0702,1.0705
2024-06-17 05:30:00+00:00,1.0705,1.0705,1.07015,1.0703
2024-06-17 05:45:00+00:00,1.0704,1.0704,1.0699,1.0701
2024-06-17 06:00:00+00:00,1.0699,1.0699,1.0686,1.0693
2024-06-17 06:15:00+00:00,1.0693,1.0697,1.069,1.0695
2024-06-17 06:30:00+00:00,1.0696,1.07,1.0692,1.07
2024-06-17 06:45:00+00:00,1.0699,1.0704,1.0696,1.0698
2024-06-17 07:00:00+00:00,1.0697,1.0701,1.0695,1.0697
2024-06-17 07:15:00+00:00,1.0697,1.0708,1.0697,1.0707
2024-06-17 07:30:00+00:00,1.0705,1.0707,1.06955,1.0697
2024-06-17 07:45:00+00:00,1.0697,1.0701,1.0693,1.0701
2024-06-17 08:00:00+00:00,1.0699,1.0713,1.0699,1.0707
2024-06-17 08:15:00+00:00,1.0709,1.0711,1.0705,1.0709
2024-06-17 08:30:00+00:00,1.0709,1.0712,1.0704,1.071
2024-06-17 08:45:00+00:00,1.0709,1.0711,1.0705,1.0707
2024-06-17 09:00:00+00:00,1.0707,1.0714,1.0707,1.0713
2024-06-17 09:15:00+00:00,1.0713,1.0713,1.0706,1.0712
2024-06-17 09:30:00+00:00,1.0711,1.0715,1.071,1.0712
2024-06-17 09:45:00+00:00,1.0711,1.0713,1.0709,1.0711
2024-06-17 10:00:00+00:00,1.0711,1.0714,1.0706,1.0706
2024-06-17 10:15:00+00:00,1.0707,1.0707,1.0701,1.0705
2024-06-17 10:30:00+00:00,1.0704,1.0707,1.0702,1.0707
2024-06-17 10:45:00+00:00,1.0707,1.0713,1.0707,1.071
2024-06-17 11:00:00+00:00,1.071,1.0716,1.0709,1.071
2024-06-17 11:15:00+00:00,1.0711,1.0717,1.071,1.0715
2024-06-17 11:30:00+00:00,1.0716,1.0718,1.0713,1.0715
2024-06-17 11:45:00+00:00,1.0716,1.0716,1.0709,1.071
2024-06-17 12:00:00+00:00,1.071,1.0715,1.0708,1.0712
2024-06-17 12:15:00+00:00,1.0713,1.0716,1.071,1.0714
2024-06-17 12:30:00+00:00,1.0714,1.0715,1.0709,1.0711
2024-06-17 12:45:00+00:00,1.07105,1.0714,1.0707,1.07135
2024-06-17 13:00:00+00:00,1.0715,1.072,1.0714,1.0719
2024-06-17 13:15:00+00:00,1.0718,1.0721,1.0714,1.0717
2024-06-17 13:30:00+00:00,1.0718,1.072,1.07125,1.0714
2024-06-17 13:45:00+00:00,1.0714,1.0718,1.0713,1.0716
2024-06-17 14:00:00+00:00,1.0716,1.0718,1.0711,1.0715
2024-06-17 14:15:00+00:00,1.0715,1.0718,1.0713,1.0715
2024-06-17 14:30:00+00:00,1.0715,1.0718,1.0713,1.0716
2024-06-17 14:45:00+00:00,1.0715,1.0718,1.0714,1.07165
2024-06-17 15:00:00+00:00,1.0716,1.0723,1.0715,1.0723
2024-06-17 15:15:00+00:00,1.0722,1.0725,1.072,1.0722
2024-06-17 15:30:00+00:00,1.0722,1.0723,1.0716,1.072
2024-06-17 15:45:00+00:00,1.07205,1.0724,1.0719,1.0723
2024-06-17 16:00:00+00:00,1.0722,1.07265,1.072,1.0724
2024-06-17 16:15:00+00:00,1.0724,1.07265,1.072,1.07265
2024-06-17 16:30:00+00:00,1.0726,1.0728,1.072,1.0721
2024-06-17 16:45:00+00:00,1.0722,1.0727,1.0721,1.07255
2024-06-17 17:00:00+00:00,1.0725,1.0727,1.0724,1.0725
2024-06-17 17:15:00+00:00,1.0725,1.0728,1.0723,1.0723
2024-06-17 17:30:00+00:00,1.0724,1.0726,1.0723,1.07245
2024-06-17 17:45:00+00:00,1.0725,1.0726,1.0724,1.0725
2024-06-17 18:00:00+00:00,1.0726,1.07325,1.0726,1.0732
2024-06-17 18:15:00+00:00,1.07315,1.0733,1.073,1.0732
2024-06-17 18:30:00+00:00,1.07315,1.0737,1.073,1.0736
2024-06-17 18:45:00+00:00,1.0736,1.0738,1.0736,1.0736
2024-06-17 19:00:00+00:00,1.07365,1.0737,1.0732,1.0732
2024-06-17 19:15:00+00:00,1.07315,1.0734,1.073,1.07315
2024-06-17 19:30:00+00:00,1.07315,1.0734,1.07315,1.0733
2024-06-17 19:45:00+00:00,1.0733,1.0733,1.0731,1.07325
2024-06-17 20:00:00+00:00,1.07325,1.0735,1.0732,1.0732
2024-06-17 20:15:00+00:00,1.0733,1.0734,1.0733,1.0734
2024-06-17 20:30:00+00:00,1.0733,1.07365,1.0732,1.0736
